,subject,score,display,question,dimension,question_number,qdirection,item
5853,sub020,2.0,understanding,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
5859,sub020,2.0,understanding,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
5865,sub020,2.0,understanding,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
5871,sub020,2.0,understanding,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
5889,sub020,2.0,understanding,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
5895,sub020,2.0,understanding,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
5901,sub020,2.0,understanding,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
5907,sub020,2.0,understanding,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
5913,sub020,2.0,understanding,# I clean my location log info.,hiding,q21,forward,hiding_q21
5919,sub020,2.0,understanding,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
5925,sub020,2.0,understanding,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
5937,sub020,2.0,understanding,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
5943,sub020,2.0,understanding,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
5949,sub020,2.0,understanding,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
5955,sub020,2.0,understanding,# I use a password manager.,blocking,q07,forward,blocking_q07
5961,sub020,2.0,understanding,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
5967,sub020,2.0,understanding,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
5973,sub020,2.0,understanding,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
5983,sub021,2.0,understanding,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
5989,sub021,2.0,understanding,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
5995,sub021,2.0,understanding,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
6001,sub021,2.0,understanding,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
6007,sub021,2.0,understanding,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
6019,sub021,2.0,understanding,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
6025,sub021,2.0,understanding,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
6031,sub021,2.0,understanding,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
6037,sub021,2.0,understanding,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
6043,sub021,2.0,understanding,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
6049,sub021,2.0,understanding,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
6055,sub021,2.0,understanding,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
6061,sub021,2.0,understanding,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
6067,sub021,2.0,understanding,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
6079,sub021,2.0,understanding,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
6085,sub021,2.0,understanding,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
6091,sub021,2.0,understanding,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
6097,sub021,2.0,understanding,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
6109,sub021,2.0,understanding,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
6121,sub021,2.0,understanding,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
6127,sub021,2.0,understanding,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
6133,sub021,2.0,understanding,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
6139,sub021,2.0,understanding,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
6145,sub021,2.0,understanding,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
6151,sub021,2.0,understanding,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
6157,sub021,2.0,understanding,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
6163,sub021,2.0,understanding,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
6169,sub021,2.0,understanding,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
6175,sub021,2.0,understanding,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
6181,sub021,2.0,understanding,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
6187,sub021,2.0,understanding,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
6193,sub021,2.0,understanding,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
6199,sub021,2.0,understanding,# I clean my location log info.,hiding,q21,forward,hiding_q21
6205,sub021,2.0,understanding,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
6211,sub021,2.0,understanding,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
6217,sub021,2.0,understanding,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
6223,sub021,2.0,understanding,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
6229,sub021,2.0,understanding,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
6235,sub021,2.0,understanding,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
6241,sub021,2.0,understanding,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
6247,sub021,2.0,understanding,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
6253,sub021,2.0,understanding,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
6265,sub021,2.0,understanding,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
6271,sub021,2.0,understanding,# I use a password manager.,blocking,q07,forward,blocking_q07
6281,sub022,2.0,understanding,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
6287,sub022,2.0,understanding,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
6305,sub022,2.0,understanding,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
6311,sub022,2.0,understanding,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
6317,sub022,2.0,understanding,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
6323,sub022,2.0,understanding,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
6329,sub022,2.0,understanding,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
6335,sub022,2.0,understanding,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
6341,sub022,2.0,understanding,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
6347,sub022,2.0,understanding,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
6353,sub022,2.0,understanding,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
6359,sub022,2.0,understanding,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
6365,sub022,2.0,understanding,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
6371,sub022,2.0,understanding,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
6377,sub022,2.0,understanding,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
6383,sub022,2.0,understanding,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
6389,sub022,2.0,understanding,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
6395,sub022,2.0,understanding,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
6401,sub022,2.0,understanding,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
6413,sub022,2.0,understanding,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
6419,sub022,2.0,understanding,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
6425,sub022,2.0,understanding,# I use a password manager.,blocking,q07,forward,blocking_q07
6431,sub022,2.0,understanding,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
6437,sub022,2.0,understanding,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
6443,sub022,2.0,understanding,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
6449,sub022,2.0,understanding,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
6455,sub022,2.0,understanding,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
6461,sub022,2.0,understanding,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
6467,sub022,2.0,understanding,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
6473,sub022,2.0,understanding,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
6479,sub022,2.0,understanding,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
6491,sub022,2.0,understanding,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
6497,sub022,2.0,understanding,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
6503,sub022,2.0,understanding,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
6509,sub022,2.0,understanding,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
6521,sub022,2.0,understanding,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
6527,sub022,2.0,understanding,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
6533,sub022,2.0,understanding,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
6539,sub022,2.0,understanding,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
6545,sub022,2.0,understanding,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
6551,sub022,2.0,understanding,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
6557,sub022,2.0,understanding,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
6563,sub022,2.0,understanding,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
6569,sub022,2.0,understanding,# I clean my location log info.,hiding,q21,forward,hiding_q21
6579,sub023,2.0,understanding,# I use a password manager.,blocking,q07,forward,blocking_q07
6591,sub023,2.0,understanding,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
6597,sub023,2.0,understanding,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
6603,sub023,2.0,understanding,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
6609,sub023,2.0,understanding,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
6615,sub023,2.0,understanding,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
6621,sub023,2.0,understanding,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
6627,sub023,2.0,understanding,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
6633,sub023,2.0,understanding,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
6639,sub023,2.0,understanding,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
6645,sub023,2.0,understanding,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
6651,sub023,2.0,understanding,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
6657,sub023,2.0,understanding,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
6663,sub023,2.0,understanding,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
6669,sub023,2.0,understanding,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
6675,sub023,2.0,understanding,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
6681,sub023,2.0,understanding,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
6693,sub023,2.0,understanding,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
6705,sub023,2.0,understanding,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
6711,sub023,2.0,understanding,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
6717,sub023,2.0,understanding,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
6723,sub023,2.0,understanding,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
6729,sub023,2.0,understanding,# I clean my location log info.,hiding,q21,forward,hiding_q21
6735,sub023,2.0,understanding,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
6741,sub023,2.0,understanding,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
6747,sub023,2.0,understanding,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
6753,sub023,2.0,understanding,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
6759,sub023,2.0,understanding,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
6765,sub023,2.0,understanding,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
6771,sub023,2.0,understanding,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
6777,sub023,2.0,understanding,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
6783,sub023,2.0,understanding,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
6789,sub023,2.0,understanding,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
6795,sub023,2.0,understanding,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
6801,sub023,2.0,understanding,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
6807,sub023,2.0,understanding,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
6813,sub023,2.0,understanding,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
6831,sub023,2.0,understanding,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
6837,sub023,2.0,understanding,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
6843,sub023,2.0,understanding,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
6849,sub023,2.0,understanding,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
6855,sub023,2.0,understanding,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
6861,sub023,2.0,understanding,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
6867,sub023,2.0,understanding,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
6889,sub024,2.0,understanding,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
6895,sub024,2.0,understanding,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
6901,sub024,2.0,understanding,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
6907,sub024,2.0,understanding,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
6913,sub024,2.0,understanding,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
6919,sub024,2.0,understanding,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
6925,sub024,2.0,understanding,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
6931,sub024,2.0,understanding,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
6937,sub024,2.0,understanding,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
6943,sub024,2.0,understanding,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
6949,sub024,2.0,understanding,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
6955,sub024,2.0,understanding,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
6967,sub024,2.0,understanding,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
6973,sub024,2.0,understanding,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
6979,sub024,2.0,understanding,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
6985,sub024,2.0,understanding,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
6991,sub024,2.0,understanding,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
6997,sub024,2.0,understanding,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
7003,sub024,2.0,understanding,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
7009,sub024,2.0,understanding,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
7015,sub024,2.0,understanding,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
7021,sub024,2.0,understanding,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
7027,sub024,2.0,understanding,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
7033,sub024,2.0,understanding,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
7039,sub024,2.0,understanding,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
7045,sub024,2.0,understanding,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
7051,sub024,2.0,understanding,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
7057,sub024,2.0,understanding,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
7063,sub024,2.0,understanding,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
7069,sub024,2.0,understanding,# I clean my location log info.,hiding,q21,forward,hiding_q21
7075,sub024,2.0,understanding,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
7081,sub024,2.0,understanding,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
7093,sub024,2.0,understanding,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
7099,sub024,2.0,understanding,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
7111,sub024,2.0,understanding,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
7117,sub024,2.0,understanding,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
7123,sub024,2.0,understanding,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
7129,sub024,2.0,understanding,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
7135,sub024,2.0,understanding,# I use a password manager.,blocking,q07,forward,blocking_q07
7141,sub024,2.0,understanding,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
7147,sub024,2.0,understanding,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
7153,sub024,2.0,understanding,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
7159,sub024,2.0,understanding,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
7165,sub024,2.0,understanding,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
7175,sub025,2.0,understanding,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
7187,sub025,2.0,understanding,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
7193,sub025,2.0,understanding,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
7199,sub025,2.0,understanding,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
7205,sub025,2.0,understanding,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
7211,sub025,2.0,understanding,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
7217,sub025,2.0,understanding,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
7223,sub025,2.0,understanding,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
7229,sub025,2.0,understanding,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
7235,sub025,2.0,understanding,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
7241,sub025,2.0,understanding,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
7247,sub025,2.0,understanding,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
7253,sub025,2.0,understanding,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
7259,sub025,2.0,understanding,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
7265,sub025,2.0,understanding,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
7277,sub025,2.0,understanding,# I clean my location log info.,hiding,q21,forward,hiding_q21
7283,sub025,2.0,understanding,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
7295,sub025,2.0,understanding,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
7301,sub025,2.0,understanding,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
7307,sub025,2.0,understanding,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
7313,sub025,2.0,understanding,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
7319,sub025,2.0,understanding,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
7325,sub025,2.0,understanding,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
7331,sub025,2.0,understanding,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
7337,sub025,2.0,understanding,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
7343,sub025,2.0,understanding,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
7355,sub025,2.0,understanding,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
7361,sub025,2.0,understanding,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
7367,sub025,2.0,understanding,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
7373,sub025,2.0,understanding,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
7379,sub025,2.0,understanding,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
7385,sub025,2.0,understanding,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
7391,sub025,2.0,understanding,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
7397,sub025,2.0,understanding,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
7403,sub025,1.0,understanding,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
7409,sub025,2.0,understanding,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
7415,sub025,2.0,understanding,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
7421,sub025,2.0,understanding,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
7433,sub025,1.0,understanding,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
7439,sub025,2.0,understanding,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
7445,sub025,2.0,understanding,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
7451,sub025,2.0,understanding,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
7457,sub025,2.0,understanding,# I use a password manager.,blocking,q07,forward,blocking_q07
7463,sub025,2.0,understanding,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
7473,sub026,2.0,understanding,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
7479,sub026,2.0,understanding,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
7485,sub026,2.0,understanding,# I use a password manager.,blocking,q07,forward,blocking_q07
7491,sub026,2.0,understanding,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
7497,sub026,2.0,understanding,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
7503,sub026,2.0,understanding,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
7509,sub026,2.0,understanding,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
7515,sub026,2.0,understanding,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
7521,sub026,2.0,understanding,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
7527,sub026,2.0,understanding,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
7533,sub026,2.0,understanding,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
7539,sub026,2.0,understanding,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
7545,sub026,2.0,understanding,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
7557,sub026,2.0,understanding,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
7563,sub026,2.0,understanding,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
7569,sub026,2.0,understanding,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
7575,sub026,2.0,understanding,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
7581,sub026,2.0,understanding,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
7593,sub026,2.0,understanding,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
7599,sub026,2.0,understanding,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
7605,sub026,2.0,understanding,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
7611,sub026,2.0,understanding,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
7617,sub026,2.0,understanding,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
7623,sub026,2.0,understanding,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
7635,sub026,2.0,understanding,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
7641,sub026,2.0,understanding,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
7647,sub026,2.0,understanding,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
7653,sub026,2.0,understanding,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
7659,sub026,2.0,understanding,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
7665,sub026,2.0,understanding,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
7671,sub026,2.0,understanding,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
7677,sub026,2.0,understanding,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
7683,sub026,2.0,understanding,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
7689,sub026,2.0,understanding,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
7695,sub026,2.0,understanding,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
7701,sub026,2.0,understanding,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
7707,sub026,2.0,understanding,# I clean my location log info.,hiding,q21,forward,hiding_q21
7713,sub026,2.0,understanding,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
7719,sub026,2.0,understanding,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
7725,sub026,2.0,understanding,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
7731,sub026,2.0,understanding,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
7737,sub026,2.0,understanding,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
